"source_id","publisher","title","source_type","url_or_doi","publication_date","retrieved_at","reporting_start","reporting_end","location","licence","redistributable","file_name","sha256","extraction_method","quality_note"
"MCI_RELEASES","三井化学/出光/旭化成","크래커 재편·CN 릴리스 3건 (원문)","company disclosure","https://jp.mitsuichemicals.com/jp/release/2023/2023_0601_1/index.htm","2026-01-27","2026-08-06","2023-06-01","2030-12-31","2023.6.1 大阪 CN구상 / 2025.12.19 지바 최종합의(idemitsu.com PDF) / 2026.1.27 3사 기본계약(asahi-kasei.com)","공시자료","conditional","","","HTML+PDF (web fetch)","市原 2UPC 55.3만t(1978.4 가동, 出光와 CCM 공동운영) — 2027.7 出光 장치(37만t) 정지 후 三井 장치로 집약. 大阪(OPC 100% 자회사) 45.5만t(1970.2 가동, 분해로 복수기) — 2030년도 AMEC 水島 정지 후 OPC로 집약(투자 212억엔, CO2 ▲50.6만t/yr), 공장 전체 S1+2 약 160만t. 분해로 암모니아 연료 전환 2030 실장 목표(GI기금/NEDO, 전 분해로 전환 시 ▲70만t). OPC 정수 2024.6-9 실시. e-cracker 발표는 미존재(암모니아 노선). 정수 주기 4년(고압가스 인정사업소 관행, JPCA)"
"EST_D1A_REINVEST","CAP 프로젝트 자체 추정","next_reinvest_year 산정 규칙 v0","estimate","(방법: 공표 계획 우선, 없으면 last_reline_year + reinvest_cycle)","2026-08-06","2026-08-06","","","","프로젝트 내부","yes","","","calculation","주기: POSCO 고로 15년(관찰 13-19 중앙값), 일본제철 고로 20년(4기가 20년+ 캠페인 지속 관찰), NCC 대정비 4년. 계산값이 2026 이전이면 2027로 하한(즉시 도래 의미). 공표 계획 우선 적용 사례: 戸畑4고로 2029(전기로 전환), 대산 NCC 2026(가동중단 승인), 市原 2027(지바 집약). 전량 계산/판단값 — Climate Arc 협력 시 검증 대상"
"KPX_SMP_YEARLY","전력거래소(KPX)","연도별 SMP","statistics","https://new.kpx.or.kr/smpYearly.es?mid=a10606080400","","2026-08-06","2015-01-01","2025-12-31","연도별 SMP 표(육지/제주/통합)","공공데이터","yes","","","HTML table (web fetch)","2015~2025 연평균, 원/kWh. EG-TIPS 2024치(128.39)와 교차 일치. D4에는 육지 기준 입력"
"KEPCO_EGTIPS","한국전력공사(EG-TIPS 게재)","2024년 한국전력통계 — 계약종별 평균판매단가","statistics","https://tips.energy.or.kr/statistics/statistics_view0703.do","2025-05-01","2026-08-06","2015-01-01","2024-12-31","전력 판매가격 표","공공데이터","yes","","","HTML table (web fetch)","산업용 전체(갑+을) 평균판매단가 원/kWh — 산업용(을) 단독 아님. 2025치는 2026 중 공표 예정"
"FX_ANNUAL_MIXED","우리은행/미국 IRS","원달러 연평균 환율 (혼합 소스)","statistics","https://www.irs.gov/individuals/international-taxpayers/yearly-average-currency-exchange-rates","","2026-08-06","2015-01-01","2025-12-31","2015-2020 우리은행 고시 연평균, 2021-2025 IRS yearly average","공개","yes","","","HTML (web fetch)","소스 혼합 — 2024 교차 시 차이 ±3원 이내. ECOS 키 수령 시 BOK 공식 연평균으로 교체 권장"
"NABO_KETS_2024","국회예산정책처","온실가스 배출권거래제 현황 및 향후 과제 (2024.12.19)","report","https://nabo.go.kr/board/file/down.do?fid=33318359","2024-12-19","2026-08-06","2015-01-01","2023-12-31","KAU 연평균 표(원자료: 배출권시장 정보플랫폼)","공공누리","conditional","","","search snippet","KAU 연평균 2015~2023 — 스니펫 확인 단계, 원보고서 PDF 대조 필요. vintage(이행연도물) 기준 원문 확인 필요. 2024~25 연평균 확정치는 미확보(스팟: 2024 KAU23 평균 8,680원, 2025 급등 16,950→24,550원)"
"TODAYENERGY_LNG","투데이에너지","LNG 도입단가 보도 (2025.4.23)","registry","https://www.todayenergy.kr/news/articleView.html?idxno=282250","2025-04-23","2026-08-06","2022-01-01","2023-12-31","본문","언론","conditional","","","HTML (web fetch)","국가 평균 LNG 도입단가(가스공사+직수입 혼합): 2022 $1,078.2/t, 2023 $817.1/t. 직수입사 평균은 크게 낮음($407.8 vs 631.1, 2014-23 평균). 2015-21, 2024-25는 관세청 API 필요"
"KR_STATS_SNIPPET","통계청/KICT/KIGAM (언론 인용 종합)","CPI·건설공사비지수·석탄 수입단가 스니펫 종합","statistics","https://www.korea.kr/news/policyNewsView.do?newsId=156668393","","2026-08-06","2020-01-01","2025-12-31","CPI 2024=114.18(정책브리핑), 2022=107.71/2023=111.59(스니펫), 건설공사비지수 2020.11=100.97/2024말=130.12/2025말=132.75(경향·마켓인 스니펫), 유연탄 수입단가 2022=$348.65/2023=$173.32(KIGAM 계열 스니펫)","공공/언론","conditional","","","search snippet","전부 스니펫~부분확인 단계 — KOSIS(DT_1J22003, 397001)·관세청 API로 대체 예정. 석탄은 유연탄 전체이며 원료탄(coking) 아님. 건설공사비지수는 연말(12월) 기준"
"POSCO_FACTBOOK","POSCO","ESG Factbook 2022·2023·2024","company report","https://sustainability.posco.co.kr/assets/file/2024_POSCO_ESG_Factbook.pdf","2025-01-01","2026-08-06","2020-01-01","2024-12-31","환경 데이터 표 (S1/S2/조강/에너지)","공시자료","conditional","","","PDF text (web fetch)","별도(국내) 기준 S1/S2 분리 2020~2024. 삼정KPMG 제한적 확신+GHG 검증서. ETS 명세서 언론치와 교차 일치. 2020 S2(58만t)가 2021 이후(139만~188만t)와 불연속 — 집계기준 변화 가능성 주의. 포항/광양 사업장별 GHG는 미공시"
"NSC_ESG_CLIMATE","日本製鉄","データブック2025(원본)+Climate 페이지","company report","https://www.nipponsteel.com/ir/library/annual_report/pdf/nsc_jp_ir_2025_databook_print.pdf","2025-09-01","2026-08-06","2020-04-01","2025-03-31","GHG·에너지·조강 표 + /en/sustainability/env/climate/overview.html","공시자료","conditional","","","PDF+HTML (web fetch)","S1/S2 경계 = 본체+전기로 자회사 10사(해외 일부 포함) — 생산량(단독 조강)과 경계 불일치 주의. FY2024 잠정치. 지구별 조강은 FY2024만 공시. 제철소별 CO2 미공시"
"LOTTE_ESG_REPORTS","롯데케미칼","ESG Report 2022·2023·2025","company report","https://www.lottechem.com/pdfRead.do?fileId=FILE_260803112356995","2026-01-01","2026-08-06","2020-01-01","2025-12-31","환경 데이터북 (사업장별 S1/S2)","공시자료","conditional","","","PDF text (web fetch)","국내 별도 기준, 사업장별(여수기초/여수첨단/대산/울산/기타) S1/S2 2021~2024 + 전사 2025(1차 명세서). KFQ/BSI 검증. 2023 값은 1차→최종 명세서 간 차이 존재 — 2025 리포트(최종)를 정본. 2020은 S1만 확보(S2 미공시). 에틸렌 생산량 미공시"
"MITSUI_ESG_DATA","三井化学","ESG Performance Data (환경)","company report","https://jp.mitsuichemicals.com/en/sustainability/esg_performance/environment/index.htm","","2026-08-06","2020-04-01","2025-03-31","환경 표 (単体 S1/S2/에너지)","공시자료","conditional","","","HTML (web fetch)","単体(국내 본체) 기준 FY2020~2024. FY2024 ISAE 3000/3410 제3자 보증, GHG Protocol 준거로 산정 변경(FY2024~). 사업소별 미공시 — 大阪工場 약 160만t(S1+2, 2023 릴리스)과 병용. 회계연도 4월~3월"
"POSCO_IR_MEDIA","포스코 뉴스룸/철강 전문지","포스코 별도 실적 보도 종합 (FY2020~2025)","company disclosure","https://newsroom.posco.com/kr/","","2026-08-06","2020-01-01","2025-12-31","각 연도 실적발표 기사","공시/언론","conditional","","","HTML+snippet","별도 매출·영업이익만 확보(2025는 뉴스룸 원문, 나머지 스니펫; 2021은 반올림치 39.9조/6,600억). CAPEX·차입금·이자·현금은 DART 감사보고서 필요 — 미확보. EBITDA 아닌 영업이익임"
"NSC_IRBANK","irbank(유가증권보고서 집계)","일본제철 연결 재무 시계열","registry","https://irbank.net/E01225/results","","2026-08-06","2020-04-01","2026-03-31","결산 시계열 표","공개","conditional","","","HTML (web fetch)","연결 IFRS, 億円. 売上収益/営業利益/CAPEX/有利子負債/현금. FY2025는 US Steel 연결로 구조 단절(부채 5.2조엔) — 시계열 사용 시 제외 권장. 순부채=유이자부채-현금(계산치). 이자비용 미확보. 회사 KPI는 사업이익(FY2024 6,832億, 스니펫)"
"LOTTE_IR_FIN","롯데케미칼","실적 보도자료+IR 재무하이라이트","company disclosure","https://www.lottechem.com/ko/ir/finance_highlight.do","","2026-08-06","2021-01-01","2025-12-31","보도자료(2022·2023 원문)+IR 페이지","공시자료","conditional","","","HTML (web fetch)","연결 기준(별도 미확보 — LC타이탄·LC USA 등 포함, 국내 경계와 불일치 주의). 영업손실 2022~2025 연속. IR 하이라이트는 재분류 후 수치로 발표치와 상이. CAPEX·차입금 미확보(DART 필요)"
"MITSUI_KESSAN","三井化学","決算短信·決算概要 (2024.5·2025.5 PDF)","company disclosure","https://jp.mitsuichemicals.com/content/dam/mitsuichemicals/sites/mci/documents/release/2025/event_250513.pdf","2025-05-13","2026-08-06","2020-04-01","2025-03-31","데이터 하이라이트","공시자료","conditional","","","PDF text (web fetch)","연결 IFRS, 億円. コア営業利益(비경상 제외 — EBITDA 아님, 감가상각 FY22 921/FY23 952 가산 시 근사 가능). 設備投資 FY2021 2,071億은 M&A성 포함. 순부채=계산치(Net D/E 0.69~0.77 공시와 정합)"
"NSC_SCOURSE50_2024","Nippon Steel","Super COURSE50 test furnace 33% CO2 cut","company report","https://www.nipponsteel.com/en/news/20240206_100.html","2024-02-06","2026-08-07","","","news","공시자료","conditional","","","web fetch","수소취입 CO2 33%(시험로)·H2 315Nm3/tHM=28kg. CAPEX는 추정(50%)"
"DIW_DP2082","DIW Berlin","Revisiting Investment Costs for Green Steel (DP2082)","paper","https://www.diw.de/documents/publikationen/73/diw_01.c.901039.de/dp2082.pdf","2024","2026-08-07","","","p.meta table","open","yes","","","PDF","DRP+EAF 592€2022/t (전해조 제외), 발표 프로젝트 751€+"
"KOBELCO_HBI_BF","Kobe Steel","HBI 대량 장입 상용 고로 실증 CO2 -20%","company report","https://www.kobelco.co.jp/english/releases/1207624_15581.html","","2026-08-07","","","release","공시자료","conditional","","","web fetch","환원재 518→415kg/tHM, 코크스 239kg 세계최저. HBI 프리미엄 var opex 추정"
"MDPI_METALS_BOF","MDPI Metals","BOF 스크랩 상한 30% 문헌","paper","https://www.mdpi.com/2075-4701/12/5/797","2022","2026-08-07","","","§","CC-BY","yes","","","web","스크랩 기술상한 30%, 공급·잔류원소가 실질 제약"
"BASF_ECRACKER_2024","BASF/SABIC/Linde","세계 첫 대형 전기가열 분해로 가동 (CO2 -90%)","company report","https://www.basf.com/global/en/media/news-releases/2024/04/p-24-177","2024-04-17","2026-08-07","","","release","공시자료","conditional","","","web fetch","6MW 실증, Linde 상용화. per-t CAPEX는 추정(40%)"
"CHEMRXIV_2025","ChemRxiv","Electrified vs thermal steam cracking TEA","paper","https://chemrxiv.org/...","2025-09","2026-08-07","","","abstract","preprint","yes","","","web","전기 분해로 CAPEX -12%, 전력수입 +91%"
"DECARB_TECH_CRACKER","Decarbonisation Technology","Decarbonisation of steam crackers","paper","https://decarbonisationtechnology.com/article/1/decarbonisation-of-steam-crackers","","2026-08-07","","","article","web","conditional","","","web","H2 firing 한계 75-80%, 버너 제약. 83kgH2/t=50% 대체 계산치"
"ICIS_BIONAPHTHA_2025","ICIS","Bio-naphtha €1,900/t ex-works heard","market data","https://www.icis.com/explore/resources/news/2025/07/02/11116111/","2025-07-02","2026-08-07","","","article","ICIS","no","","","web","프리미엄 ~$1,300/t → 5,792천원/t에틸렌(치환분), 공급상한 10%"
"IEA_HTHP","IEA","Renewables for Industry — 산업 열펌프 150-200°C","report","https://www.iea.org/reports/renewables-for-industry/executive-summary","","2026-08-07","","","exec summary","IEA","conditional","","","web","열펌프 분리계 한정(<200°C) — 분해 850°C 불가, 15% 상한"
"POSCO_HYREX","POSCO","HyREX 실증 설계 개시·2030 상용성 검증","company report","https://newsroom.posco.com/en/posco-starts-to-design-the-hyrex-demonstration-plant/","","2026-08-07","","","release","공시자료","conditional","","","web","단위경제 미공표 — H2DRI 준용 추정"
"KPX_SMP_MONTHLY","전력거래소","월별 SMP (육지)","market data","https://new.kpx.or.kr/smpMonthly.es?mid=a10606080300","","2026-08-07","2025-01-01","2026-07-31","월별 SMP 표","공공","yes","","","web fetch","2025.01~2026.07 월별 19개 — 전력 변동성 캘리브레이션 주계열. 2015-24 월별은 EPSIS 다운로드 필요"
"JEPX_BR","JEPX","사업보고서 스팟 시스템프라이스 연평균","market data","https://www.jepx.jp/company/overview/pdf/BR2024.pdf","","2026-08-07","2019-04-01","2026-03-31","BR2023/24","공개","yes","","","web fetch","FY2019-25, FY22 20.37 과거최고. FY19-22·25는 2차 집계"
"POSCO_OPINC_SERIES","포스코 뉴스룸 외","포스코 별도 영업이익/조강톤 시계열","company report","https://newsroom.posco.com/","","2026-08-07","2019-01-01","2025-12-31","실적발표 종합","공시자료","conditional","","","web fetch","톤당 값은 산출 추정. 2022 분할연도 별도치 추정 — 조기폐쇄 마진 프록시용"
"SPGLOBAL_ENA_SPREAD","S&P Global","에틸렌-납사 스프레드 연평균 (아시아)","market data","https://www.spglobal.com/energy/en/news-research/latest-news/refined-products/122324-","","2026-08-07","2019-01-01","2025-12-31","기사 인용","S&P","no","","","web fetch","2022-25 공표 연평균(1차), 2019-21 추정. 손익분기 통합 250/비통합 300-350 USD/t"
"KR_PPA_2026","인사이트에너지뉴스","한국 재생 PPA 계약단가 수준","market data","https://www.inenews.kr/news/articleView.html?idxno=28589","2026-01-15","2026-08-07","","","기사","언론","conditional","","","web fetch","태양광 170원대·풍력 180원 중반·수력 150원+ — v2.1 재생 조달가 앵커 (2차)"
"REI_JP_PPA_2025","Renewable Energy Institute","일본 Corporate PPA 가격 (2025판)","report","https://www.renewable-ei.org/pdfdownload/activities/REI_ENCorporatePPA_2025.pdf","2025-03","2026-08-07","","","p.표","REI","conditional","","","PDF","온사이트 12-15, 물리 PPA 총 20-23 JPY/kWh (HV)"
"KR_H2_PRICE_2025","언론 종합","한국 청정수소 공급비 현황·목표","market data","https://news.mtn.co.kr/news-detail/2025121009583851355","","2026-08-07","","","기사","언론","conditional","","","web fetch","현 ~1만원/kg(원전PPA시 2500원 주장), 로드맵 2030 4000원. CHPS 낙찰가 비공개(상한 ~450원/kWh 추정). 일본 목표 30JPY/Nm3@2030"
"POSCO_NEWSROOM_BF2","포스코 뉴스룸","포항 2고로 내용적 2,550m³ (스마트 고로)","company report","https://newsroom.posco.com/kr/나는-생각한다-고로-존재한다/","","2026-08-07","","","기사 본문","공시자료","conditional","","","web fetch","2,550m³ 1차 확인 (POSCO E&C 브로슈어 교차). 3차 개수 2014-16, 폐쇄 미공표"
"MCI_OSAKA_CN_2023","Mitsui Chemicals","Mitsui Chemicals Launches Efforts to Realize a Carbon Neutral Vision for the Osaka Works","press_release","https://us.mitsuichemicals.com/mci/mci-news/2023/2023_0601_01/index.htm","2023-06-01","2026-08-09","","","본문","corporate press release","quote-only","","","web fetch","오사카공장 Scope1+2 약 160만 tCO2. 나프타 크래커의 암모니아 연료전환으로 약 70만 tCO2 감축 전망(2030년 전후) = 공장 배출의 약 44%. 투자금액은 본문에 없음 — 'large-scale capital investment will be needed'라고만 기술하고 금액 논의는 유보. 검색 요약에 도는 '1,400억엔'은 이 1차 출처로 확인되지 않아 채택하지 않음."
"JPCA_CAPACITY_2024","石油化学工業協会 (JPCA)","主要石油化学製品のメーカー別生産能力","industry_association_table","https://www.jpca.or.jp/trends/manufacturer.html","2024-12-31","2026-08-09","2024-12-31","2024-12-31","エチレン 생산능력 표","association publication","quote-only","","","web fetch","경제산업성 조사 기준(2024년 12월말). 三井化学 553,000 t에틸렌/yr, 大阪石油化学(미쓰이 100%) 455,000 t에틸렌/yr. 일본 전체 6,162,000 t. D1a의 MCI 2기 능력과 정확히 일치 — 능력 추정 오류 가설을 배제한다. 롯데케미칼은 이 표에 없음(일본 협회 자료)."
"EEGS_GHG_2023","환경성·경제산업성 (EEGS 전자보고시스템)","温室効果ガス排出量算定・報告・公表制度 — 事業者(事業所)別排出量等の公表","statutory_disclosure","https://eegs.env.go.jp/ghg-santeikohyo-result/search","2023","2026-08-09","2023-04-01","2024-03-31","事業者・事業所名=日本製鉄, 区分=事業所, 排出年度=2023","일본 정부 공표자료","yes","","","웹 검색화면 표 추출(다운로드 미사용)","온대법(地球温暖化対策推進法) 특정배출자 법정 보고. **2021년도부터 사업소 단위 공개**. 일본제철 27개 사업소 FY2023 확보, 합계 74.4 MtCO₂. 산정배출량은 **에너지기원 CO₂(구매전력 포함) = Scope1+2 성격**이라 우리 D1b의 S1+S2(76.4 Mt)와 −2.6%로 정합. 고로 7개 사이트(KAS·KIM·MUR·NGO·OIT·TOB·WAK) 전부 포함 — G1(시설 실측)의 일본 부분이 이 자료로 열린다. T1."
"NATCOMM_APA_2026","Nature Communications (Kampmann, Rekker, Ruan, Shrimali 외)","Assessing corporate transition plans using a production asset-based planning approach","paper","https://www.nature.com/articles/s41467-026-72703-2","2026-05-13","2026-08-10","2020-01-01","2050-12-31","Methods; Results (steel)","CC BY (Nature Communications open access)","conditional","","","HTML (web fetch)","자산기반계획법(APA). CA100+ 우선기업 중 전력 10사·철강 10사. GEM Global Steel Plant/Blast Furnace Tracker 자산 데이터 + 기술·국가별 표준 배출계수로 BAU·공시계획 시나리오의 2020–2050 누적 배출을 NGFS 6개 경로 탄소예산(2020년 배출 비중 그랜드파더링)과 대조. 20사 중 3사만 파리 정합. **비용을 모형화하지 않는다** — BF 개수 48 EUR/t, H2-DRI-EAF 574 EUR/t를 언급하되 선택에 간접적으로만 영향한다고 기술. 불확실성은 분포가 아니라 서술적 한계로 처리. 철강 자산의 42%가 2030년 이전 재투자 도래(락인 지표)"
"ACCR_BF_RELINE_2025","Australasian Centre for Corporate Responsibility (ACCR)","Steelmakers face crunch-time on coal: critical risks in blast furnace relining decisions","report","https://www.accr.org.au/research/steelmakers-face-crunch-time-on-coal-critical-risks-in-blast-furnace-relining-decisions/","2025-05-19","2026-08-10","2025-01-01","2035-12-31","요약·주요 수치","ACCR (인용 허용, 재배포 미확인)","no","","","HTML (web fetch)","철강 13사(세계 생산 17%, 3.2억 t/yr, 중국 제외) 고로 62기가 2035년 말까지 개수 의사결정 도래, 그중 70% 이상이 2026–2035년. 아시아 48%·유럽 37%. 개수 1기당 재조달비 3억 USD, 최대 10억 USD 근접, 수명 20년. 통화 단위가 USD인지 AUD인지 본문에 명시되지 않아 원화 환산은 USD 가정(T5). 기업들이 고로 개수 시기·상태를 투명하게 공시하지 않는다고 지적"
"CA100_BENCHMARK_V22","Climate Action 100+","Net Zero Company Benchmark — Methodology (v2.2, 2025-10)","methodology","https://www.climateaction100.org/net-zero-company-benchmark/methodology/","2025-10-01","2026-08-10","","","Benchmark Framework 개요","CA100+","no","","","검색 결과 스니펫 (본문 미확인)","자본배분 정합(capital alignment) 지표가 벤치마크에 포함되고 RMI가 철강 등 부문 평가를 수행. **본문 미확인 — 스니펫 수준**이므로 정성 좌표(공시 CAPEX 정합이 평가 항목으로 존재한다)에만 쓰고 수치 인용에는 쓰지 않는다"
